1월,January
2월,February
3월,March
4월,April
5월,May
6월,June
7월,July
8월,August
9월,September
10월,October
11월,November
12월,December
동안,during
달,month (not ㄱ...)
개월,month (not ㄷ...)
날,day
하루,a day (one day)
이틀,two days
사흘,three days
지난 주,last week
지난 달,last month
다음 주,next week
이번 주,this week
이번 달,this month
다음 달,next month
작년,last year
올해,this year
내년,next year
평생,in my life
달리다,to run
기회,opportunity
보통,usually (not ㄷ...)
계획,plans
회사원,office worker
두렵다,to be scared
요리하다,to cook
요리사,chef
운전하다,to drive
운전사,driver
이상하다,to be strange
죽다,to die
