경제,economy
경제적,economical
역사,history
역사적,historical
과학,science
과학적,scientific
충동,impulse
충동적,impulsive
문화,culture
문화적,cultural
민주,democracy
민주적,democratic
개인,individual/personal (2 syllables)
개인적,individual (3 syllables)
자연,nature
자연스럽다,natural
실망하다,disappointed
실망스럽다,disappointing
사랑하다,to love
사랑스럽다,to be lovely
만족하다,to be satisfied
만족스럽다,to be satisfactory
관계,relationship
풀다,"to untie, to unfasten, to loosen"
스트레스,stress
연필,pencil
색깔,color
그,he
그녀,she
결과,result
조금,a little
꿈,dream
꿈꾸다,to dream
세상,world (ᄉᄉ)
세계,world (ᄉᄀ)
근처,to be close to, to be near (no "다")
가깝다,"near by, close (adj.)"
회화,conversation
태어나다,to be born
나중,later
다니다,to go somewhere frequently
문자,text message
힘들다,to be difficult to do something
제목,title of a book
그러나,but, however
순수하다,to be pure
최근에,recently
가슴,chest
믿다,"to believe, to trust"
