하나,one (Korean)
둘,two (Korean)
셋,three (Korean)
넷,four (Korean)
다섯,five (Korean)
여섯,six (Korean)
일곱,seven (Korean)
여덟,eight (Korean)
아홉,nine (Korean)
열,ten (Korean)
스물,twenty (Korean)
서른,thirty (Korean)
마흔,forty (Korean)
쉰,fifty (Korean)
일,one (Chinese)
이,two (Chinese)
삼,three (Chinese)
사,four (Chinese)
오,five (Chinese)
육,six (Chinese)
칠,seven (Chinese)
팔,eight (Chinese)
구,nine (Chinese)
십,ten (Chinese)
백,one hundred (Chinese)
천,one thousand (Chinese)
만,ten thousand (Chinese)
처음,the first time
마지막,the last
첫 번째,first (1'st)
두 번째,second (2'nd)
개,thing counter
번,action counter
번째,time counter
명,person counter
대,vehicle counter
잔,glass counter
시,hour (indicates o'clock)
분 (time),minute
살,years old (ends in ㄹ)
초,second (s)
영,Zero (ㅇ...)
공,Zero (used in phones)
