해변,beach
천재,genius
임산부,pregnant woman
해물,seafood
박쥐,bat (the animal)
유리,glass
목청,vocal cords/ones voice
청력,one’s hearing ability
서재,study (room in somebody’s house)
재시험,retest
재시합,rematch
침실,bedroom
물감,paints
물줄기,stream of water
형태,the shape of something
지급하다,to give somebody money
장악하다,dominate/seize control of
섞다,mix
주먹질하다,punch
손짓하다,hand signal
섞이다,to be mixed
이어지다,be connected/continue/lead to
기묘하다,strange/weird
거대하다,huge/gigantic
보수적이다,conservative
새하얗다,pure white
살짝,slightly/secretly
한가운데,in the very middle
영하,below zero (temperature)
영상,above zero (temperature)
