사실,Fact
축하하다,to congratulate
약,Medicine
일어나다,to get up
준비하다,to get ready
익숙하다,to be familiar
흥미롭다,interesting
음악,Music
늦다,late
시원하다,cool
질투하다,jealous
맵다,spicy
하늘,Sky
땅,Land
죄송하다,to be sorry (notㅁ...)
미안하다,to be sorry (not ㅈ...)
무겁다,heavy
가볍다,"to be light, not heavy, slight"
유명하다,famous
지하,Underground
요즘,these days (...ㅈ...)
빵,Bread
들어오다,to come in
들어가다,to go in
쓰레기,Garbage
입장하다,to admit
회계사,Accountant
엔지니어,Engineer
녹차,Green Tea
같이,together
정부,Government
성격,Personality
온도,Temperature
커튼,Curtain
숨,Breath
숨쉬다,to breathe
이,Teeth
