냄새,smell
청소기,vacuum cleaner
얼굴,face
시장,market
몸,body
불,"light, fire"
숙제,homework
기억,memory
상자,box
바람,wind
세금,tax
켜다,to turn on (ㅋ...)
끄다,to turn off
숨다,to hide oneself
숨기다,to hide an object
고장내다,to break
놓다,to lay an object down
눕다,to lie down, lay oneself down
존경하다,to respect
대체하다,to replace
제공하다,"to provide, to offer"
포함하다,to include
내다,"to make something come up, arise, occur"
싸우다,to fight
속이다,to trick somebody
감동하다,to impress
서다,to stand
잠기다,to be locked
켜지다,to be turned on
꺼지다,to be turned off
나다,to have something you didn't have
고장나다,to be broken
놓이다,for an object to be lying down
화나다,to be mad
짜증나다,to be annoyed
열리다,to be open
속다,to be tricked
자꾸,repeatedly
닫히다,to be closed
