뱃속,inside a stomach
수두,chicken pox
보물,treasure
절망,despair/hopelessness
정오,noon
해돋이,a sunrise
야식,nighttime snack
명함,business card
화산,volcano
범위,range/scope of something
실감,a realistic feeling
분자,molecule
멀미,motion sickness
중동,the Middle East
차멀미,motion sickness from a car (car sick)
물놀이= playing in the water
비극적,tragic
객관적,objective
솟다,to soar/rise up
분리하다,to separate/divide/segregate
탐험하다,to explore
환전하다,to exchange money/currency
유통하다,to circulate, to ventilate
유익하다,"to be beneficial, useful, helpful"
엄청나다,"to be enormous, to be tremendous"
아무튼,"anyways, in any event"
어차피,"anyways, in any event"
