재정,finance/financial affairs
선풍기,electric fan
적,enemy
디젤,diesel fuel
도전,challenge
도전자,challenger
기미,sign/indication
코피,nosebleed
주어,a subject in a sentence
장애,obstacle/barrier
장애인,disabled person
정서,emotion/feeling
정서장애,emotional disorder
유아,small/little child/toddler
유아기,early childhood period
사망률,death rate
오염,pollution
고무,rubber
길을 잃다,get lost
참여하다,participate
업다,to carry on your back
무너뜨리다,to collapse/tear down
탓하다,blame
저장하다,save a file/store an item
누락하다,omit/omission/to be omitted
무너지다,collapse
실수로,accidentally
추후,future
수백,hundreds of
기타,etc…/and so on
