주사,injection
연고,ointment
골프,golf
큰길,main road
품목,items
사망,death
사망자,dead people (death toll)
특징,specific physical characteristic
인생,life
하룻밤,one night
통신,communications/correspondence
모임,gathering/get together
식품,food products
자식,one’s child(ren)
남성,male
여성,female
꺼내다,bringing something up (a topic)
결근하다,to be absent from work
반복하다,repeat
늘어나다,stretch
마련하다,prepare/arrange/provide
내놓다,release/put out
대출하다,loan
가렵다,itchy
단단하다,hard/stiff
커다랗다,huge
다양하다,various
오늘날,these days
시절,the good “days”
최고,the best/first
