단식,a singles match (in sports)
주거,place of living/dwelling/residence
안정성/감,stability/sense of stability
풀,grass
야심,ambitions/aspirations
각도,angle
수납,storage
수납장,closet
청년,young man/young people
징역,prison
실권,power (쥐다)
겉보기,outward appearance
단식하다,to fast
과하다,excessive
안정시키다,to stabilize
베이다,to cut yourself
베다,to cut grass/trees/plants
남모르다,secret/unknown to people
선고하다,to sentence/tell about a condition
데우다,to heat up
욕하다,swear/insult/abuse
안정되다,stable
절실하다,urgent/pressing
미지근하다,lukewarm
분명하다,clear/distinct
아마,probably
한층,much more (like 훨씬)
남몰래,secretly
온종일,all day
비록,goes before ~지만 in a sentence
