수단,"means, way, measure"
복리,compound interest
경고,"warning, caution"
면적,"area, surface area"
주행,the running of a car
주행거리,mileage on a cars
위성,satellite (or a moon of a planet)
은하,galaxy
은하수,milky way galaxy
우주,space, the universe
우주인,astronaut
모래,sand
모래시계,hourglass
모래알,a grain of sand
거리계,some sort of distance measurer
대기업,large companies
소득공제,tax deduction
해안가,area around the waterfront
공제하다,to deduct
침입하다,"to trespass, to invade, to break in"
억,one hundred million
조,one trillion
경,ten quadrillion
대략,roughly
