소식,news (not 뉴스)
엄마,mom
아빠,dad
결혼식,wedding
우표,postage stamp
신,God
만화,"comics, cartoons"
만화책,comic book
예정,Schedule
코딱지,"booger, a small amount of something"
논,rice paddy
낮잠,nap
의견,"opinion, feedback"
수입,income
축복하다,to bless
사라지다,to disappear
졸업하다,to graduate
입원하다,to check in to a hospital
퇴원하다,to check out of a hospital
이기다,to win
지다,to lose
후회하다,to regret
타다,to ride
즐겁다,to be pleasant
부족하다,"to not be enough, to be lacking"
간단하다,to be simple
누구,who
왜,why
언제,when
어디,where
역시,also
미터,meter
센티미터,centimeter
몇몇,some (only used with people)
나중에 또 봐요,see you later
벌써,already (not 이...)
이미,already (not ㅂ...)
특히,especially
점점,gradually
