식신,somebody who eats a lot
길이,length
밧줄,rope (ㅂ...)
주인공,"main character, hero"
소설가,novelist
자동차,"automobile, vehicle (ㅈ...)"
시식,samples that supermarkets give out for tasting
입력,input
출력,output
현금인출기,ATM
시위자,protester
불만,"complaint, dissatisfaction"
돌아서다,to turn around
늘이다,to make longer
가리키다,"to point, to indicate"
상상하다,to imagine
심다,to plant
위로하다,to console
조그맣다,"to be tiny, to be little"
월등하다,to be exceptional
불만족스럽다,to be dissatisfied
정각,on the hour
몹시,heavily/badly/really bad
점차,gradually/slowly
지금껏,until now
