연기,smoke (noun)
뒷맛,aftertaste
경기장,sports stadium
경기력,sports performance
현관,entrance room
층계,stairwell
인내,patience/endurance
인내심,patience
정치,politics
온도,temperature
식탁,dinner table
소풍,outing/picnic/excursion
서점,bookstore
경치,view/scenery
개발하다,develop
알아보다,go look/see/find out/investigate
저축하다,to save money
낭비하다,waste
찾아오다,visit/come looking for
취직하다,find a job
멈추다,stop
무시하다,ignore
다루다,treat/deal with
생각해보다,think about it
반대되다,to be opposite
마르다,dry
순순히,obediently
참,really/very/extremely
새해,new years
