날씨,weather
기온,temperature
공기,air
비,rain
눈,snow
바람,wind
이슬비,drizzle
눈바람,blizzard
폭염,heat wave
장마,rainy season
가뭄,drought
기후변화,climate change
번개,lightning
천둥,thunder
소나기,shower
태풍,typhoon
단풍,changing of the color of leaves in autumn
낙엽,fallen leavings in autumn
황사,yellow dust that comes in the spring in Korea
하늘,Sky
구름,clouds
해,sun
일교차,the difference in temperature within a day
산불,forest fire
자외선,UV rays
자외선 차단제,sun screen
내복,long johns/long underwear
우산,umbrella
비옷,rain jacket
겉옷,outer clothes
바다,ocean
해변,beach
기후,climate
에어컨,air conditioner
난방,heating
냉방,cooling/air conditioning
치다,for lightning/thunder to strike
쌓이다,to be piled up
오다,for rain/snow to come
내리다,for rain/snow to fall down
피다,for a flower to bloom
지다,for the sun to set
뜨다,for the sun to rise
불다,for wind to blow
틀다,"to twist, turn, set (a machine) going"
끄다,to turn off
덥다,to be hot (not 뜨...)
춥다,to be cold (not 차...)
건조하다,dry
따뜻하다,to be warm
습하다,humid
맑다,clear
쌀쌀하다,chilly
서늘하다,cool (ᄉ...ᄂ...)
여름,summer
겨울,winter
가을,fall
봄,spring
영하,below zero
영상,above zero
