비율,ratio/percentage
강사,instructor/lecturer
총리,prime minister
기관,engine
반도,peninsula
상공,sky/in the air
반딧불,firefly
잠옷,pajamas
옆방,the room next door
고속버스,bus that goes on the freeway
형제,brothers/siblings
치아,teeth
충치,tooth decay/cavity
습관,habit/customs/practice of
빛깔,color
매듭,knot
보조하다,help/aid
탐지하다,detect
게재하다,publish
꺾다,break something in half (branch)
꺾다,turn (breaking a straight line)
의지하다,lean on (people/friends)
내기하다,bet
연하다,tender/soft
느슨하다,loose/slack
은은하다,soft smell/light/sound (faint)
억울하다,unfair
불우하다,underprivileged
일회용,one time use (disposable)
일회성,a one-time thing
