포로,prisoner of war
덤불,bush
특허,patent
신제품,new product
폭탄,bomb
폐기물,waste materials
급행,express (train)
붕대,bandage/band-aid (감다)
연봉,annual income/salary
기소하다,prosecute
강연하다,to give a lecture
전달하다,convey information/deliver
인쇄하다,print
제하다,subtract/deduct
인솔하다,to guide tourists around
재다,measure/weigh/time
환호하다,cheer
기다,crawl
파견하다,dispatch/send
요구하다,demand
쓰러뜨리다,to knock/blow down something
연장하다,extend/renew (time)
처리하다,handle/dispose of/process
쓰러지다,to collapse/fall down
푸짐하다,plentiful/abundant/generous
깔끔하다,clean/neat and tidy
축축하다,damp/wet/moist
무리하다,too much
한참,a long time
아무런,“no sort of” placed behind noun
