몸살,body ache
달빛,moonlight
출산,childbirth
중개인,intermediary
선인장,cactus
열량,calorie
나트륨,sodium
고혈압,high blood pressure
저혈압,low blood pressure
덩어리,a chunk
말수,the amount that one talks
설명회,"explanation session, debriefing session"
접종,vaccination
생수,mineral water
이야깃거리,things to talk about
핥다,to lick
먹이다,to feed
출시하다,"to release, to launch"
전시하다,to display
등장하다,to appear on stage
해동하다,to defrost
위조하다,to forge
전학하다,to transfer schools
접근하다,to approach
눈치채다,to be aware of a situation or other people’s thoughts
