학교,school
학생,student
선생님,teacher (three syllables)
교사,teacher (two syllables)
담임선생님,homeroom teacher
교장선생님,principal
교감선생님,vice principal
원어민 선생님,native speaking teacher
과목,subject
반,class (one syllable)
수업,class (two syllables)
교실,classroom
교시,period
1교시,first period
2교시,second period
시간표,timetable
급식,the lunch served at school
동아리,club
시험,exam
중간고사,midterm exam
기말고사,final exam
문제,problem/question
질문,question
방학,vacation
초등학교,elementary school
중학교,middle School
고등학교,high school
국립고등학교,public high school
사립고등학교,private high school
학원,after school private academy
학년,grade
학기,semester
수능,Korean SAT
수행평가,performance assessment
가르치다,to teach
배우다,to learn
듣다,to hear
이해하다,to understand
이해가 안 되다,to not understand
설명하다,to explain
평가하다,to evaluate
시험을 보다,to take an exam
채점하다,to mark or grade an exam
방과 후 수업,after school class
학교 끝나고,after school
수업 전에,before class
수업 끝나고,after class
