한식,Korean food
양식,western food
키,height
별,star
태도,attitude
월급,pay cheque
도심,downtown (ㄷ...)
시내,downtown (ㅅ...)
추억,memory (ㅊ...)
후보자,candidate
라면,instant noodles (Ramen)
주년,anniversary
자세,body position/posture
걱정하다,to worry
씻다,to wash
확인하다,to confirm, to check
모으다,to gather, to collect
이야기하다,"to talk with, to have a conversation with"
수집하다,to collect
추천하다,to recommend
좁다,to be narrow
넓다,to be wide
특별하다,to be special
게으르다,to be lazy
편하다,to be comfortable (not ㅇ...)
안락하다,to be comfortable (not ㅍ...)
더,more
덜,less
가장,most (ㄱ...)
제일,most (ㅈ...)
평소,usual
여러,many/various (ㅇ...)
옛,something old
옛날,a long time ago
옛사랑,old love
옛이야기,old story
옛길,old road
닥쳐,shut up
