김치,kimchi
밥,rice
반찬,side dish
식사,meal
물,water
음료수,beverage
맥주,beer
소주,a type of Korean traditional alcohol 1
막걸리,a type of Korean traditional alcohol 2
콜라,cola
사이다,cider
고기,meat
돼지고기,pork
소고기,beef
해물,seafood
재료,ingredients
국내산,some product/food from Korea
식당,restaurant
맛집,delicious restaurant
젓가락,chopstick
숟가락,spoon
포크,fork
접시,plate
그릇,bowl
탁자,table
상,small traditional Korean table that folds out
냄비,pot
냉장고,refrigerator
김치냉장고,kimchi refrigerator
냉동실,freezer
메뉴,menu
먹다,to eat
마시다,to drink
요리하다,to cook
따르다,to pour
주다,to give
주문하다,to order (ㅈ...)
시키다,to order (ㅅ...)
계산하다,to pay (4 syllables)
내다,to pay for something (2 syllables)
비싸다,to be expensive
싸다,cheap
배고프다,to be hungry
배부르다,to be full (stomach)
맛있다,to be delicious
맛없다,not delicious
짜다,salty
느끼하다,greasy
고소하다,nutty
아침(식사),breakfast
점심(식사),lunch
저녁(식사),dinner
