보관소,storage center
분실물,the lost item (noun)
분실물 보관소
lost and found
수리비,repair charges
하품
yawn
화면,screen/monitor
엔진,engine
부품,mechanical part
엘리베이터,elevator
차비,carfare
경연대회,contest
중소기업,small and medium enterprises
임대,lease/rent
우등상,honor prize
짝 사랑,one sided love
음악회,concert
알아듣다,understand/recognize a sound
맡기다,to leave/entrust with somebody
해내다,finish something like a job/work
적용하다,applying a law
대다,present/press against
매매하다,to buy and sell
들어올리다,raise/lift/put up
하락하다,to fall/go down
신용하다,trust
싱겁다,something being flat/dull/tasteless
기분이 상하다,being offended/hurt
자신만만하다,confident
정숙하다,quiet/innocent
예의 바르다,polite
애매모호하다,ambiguous
