감독관,"supervisor, proctor"
심장,heart
수염,facial hair
명예,honor
당구,billiards
얼룩말,zebra
탁구,table tennis
시합,"game, match, competition (ㅅ...)"
인문,"humanities, liberal arts"
자격,qualification
자격증,certificate (something showing qualification)
기억력,memory (...ㄹ...)
먹이,prey, food
교도소,prison (3 syllables)
죄수,prisoner
파악하다,"to understand, to grasp, to figure out (ㅍ...)"
살아나다,to revive
동반하다,to accompany
회복하다,"to restore, to recover (ㅎ...)"
편리하다,"to be convenient, to be handy"
불쾌하다,"to be unpleasant, to be nasty"
단단하다,"to be hard, to be stiff"
