화재,fire
몸매,one’s figure
동점,a tie in a game
분류,classification/categorization
부채,folding fan
속담,proverb
여부,whether something is or is not
복근,abdominal muscles
개학,start of school
재판,trial (in courts)
소지품,belongings
거스름돈,change after buying something
익다,to ripen
명상하다,to meditate
누적하다,to accumulate
분배하다,"to divide up, to share"
혁신하다,to innovate
직감하다,to know by intuition
위반하다,to violate/infringe
간주하다,to consider
출근하다,to go to work
두껍다,to be thick and heavy
단순하다,to be simple/mindless
거만하다,to be arrogant
가만하다,to be still/motionless
