예측,"forecast, prediction"
미풍,gentle breeze
솜털,"soft, fine hair (“peach fuzz”)"
요약= summary
대머리,bald
바닷물,sea water
다용도,multi-purpose
다용도실,utility room
베다,to rest one’s head on
조리다,"to boil in sauce, to simmer"
다듬다,to trim (nails/hair)
좌절하다,to be frustrated
차단하다",to block, to obstruct, to stop"
소송하다,to sue
상승하다,to rise/increase
급락하다,to plummet
급상승하다,to soar
급강하하다,to plummet
흐릿하다,to be blurry/cloudy/gray/faint
넉넉하다,to be sufficient/enough
찝찝하다,to feel uncomfortable/awkward
담백하다,to be light/clean in taste
민망하다,to be embarrassed/ashamed
못마땅하다,to be unhappy/displeased with
기껏,at most
기껏해야,at most
