설탕,sugar
경찰관,policeman
경찰서,police Station
구름,cloud
경쟁,competition
경쟁자,competitors
피,blood
구두,"shoes, boots (ㄱ...)"
목욕,bath
번호,number
전화번호,phone number
열쇠,key
수박,watermelon
과자,"candy, cookies"
양복,suit
날다,to fly
걷히다,to clear up (in weather)
구경하다,to sight see
뒤처지다,to fall behind
앞지르다,to pass, to overtake
감독하다,to supervise
느끼다,to feel
지우다,"to wipe off, to erase"
두다,"to put, set, place something"
달다,to be sweet
깊다,to be deep
조용하다,to be quiet
뜨겁다,to be hot (not 덥다)
차갑다,to be cold (not 춥...)
친절하다,"to be nice, to be kind (not 착...)"
전,"before, ago"
직전,just before
후,"after, later"
직후,right after
이래,since
잠시,a moment
잠깐,a short time
이내,within
치우다,"to remove, to clear away"
