즉시,immediately (ㅈ...)
바로,immediately (ㅂ...)
빨리,quickly
가끔,sometimes (ㄱ...)
자주,often
많이,"many, a lot (adverb)"
방금,a moment ago
완벽하다,to be perfect
곧,soon
곳,place (ㄱ...)
기계,machine
대학교,university
아프다,to be sick
놀다,to play
트럭,truck
동시에,same time
검은색,black
흰색,white
밤,night
어젯밤,last night
똑똑하다,to be smart
갑자기,suddenly
매년,every year
음료수,beverage
외국,foreign country
외국인,foreigner
쓰다,to write
쓰다,to use
실수,mistake
수리하다,to repair
고등학교,high school
잡다,to catch
읽다,"to read (used when talking about reading anything: newspaper, magazines, labels, etc)"
다시,again
중요하다,to be important
여행,travel
혼자,alone
낮,daytime
젊다,to be young
늙다,"to grow old, age (느...)"
나이가 많다,to be old (person) (2 words ㄴ...)
동,East
남,South
서,West
북,North
도서관,library
받다,to get/ receive/ acquired
도착하다,to arrive
내다,to pay for sth (2 syllables)
나쁘다,to be bad
