동료,"colleague, peer"
사거리,intersection
어린이집,day care
유치원,kindergarten
뿌리,roots
무역,trade
턱,chin
왼발,left foot
왼손,left hand
오른발,right foot
오른손,right hand
손바닥,palm
음성,voice (ㅇ...)
이마,forehead
발가락,toe
발목,ankle
엉덩이,butt
신체,body (ㅅ...)
감옥,prison
볼,cheek (NOT 뺨)
제자리,in the right place
상대하다,to deal with people
미치다,to go crazy
멀리,far away (adv)
너무나,extremely
최초,the first time in history something is done or occurs
초(에),the beginning of a time period
말(에),the end of a time period
결코,put with negative sentences for emphasis
