밤길,a street at night
곤경,"trouble, predicament"
농사,farm work
시금치,spinach
앵무새,parrot
철분,iron content (in food)
빈혈,anemia
고열,high fever
미각,sense of taste
후각,sense of smell
청각,sense of sound
시각,sense of sight
촉각,sense of touch
주가,stock price
육상,track and field
맹물,plain water
탄산,carbonic acid
탄산수,carbonated water
제시간,the right/appropriate time
자료실,a room with documents
처하다,to encounter some sort of trouble/predicament
허비하다,to let something waste away
유산하다,to have a miscarriage
조작하다,to forge
훼손하다,to damage
