술자리,drinking party/banquet
무늬,pattern/design
줄무늬,stripes
체크무늬,plaid
얼룩무늬,camouflage
호피,tiger/leopard skin
꿈속,in a dream
신혼여행,honeymoon
노예,slave
후유증,aftereffects/aftermath
부작용,side effect
짝퉁,knock off ______ (fake purse)
곰팡이,mold
생리,physiology
생리,menstruation
현상,phenomenon
나무뿌리,root of a tree
숙소,lodging/accommodations
원주민,aboriginal/native
겉,exterior
액자,picture frame
뵈다,to see (high respect)
메다,to put something on your shoulder
도망가다,run away with something
괴롭히다,harass/torment
파내다,dig out/pick out
마법에 걸렸다,to be on one’s period
패하다,be defeated/lose
화해하다,reconcile/make up with somebody
