책자,"booklet, leaflet, pamphlet, brochure"
바퀴,wheel
기운,"energy, vitality, vigor (ㄱ...)"
무리,group (ㅁ...)
정체,identity
교원,teacher (ㄱ...)
살인,murder
살인자,murderer
초과하다,to exceed
울리다,to make somebody cry
결재하다,to approve (ㄱ...)
퇴근하다,to leave work (ㅌ...)
흘러나오다,to trickle out of
주고받다,to exchange (to give and take)
고용하다,to hire (ㄱ...)
공고하다,to announce (ㄱ...)
연기하다,to act (ㅇ...)
이루어지다,to be comprised
이루어지다,for a wish/dream to come true
부서지다,to be smashed into pieces
부러지다,to be broken in half
위태롭다,to be risky
부유하다,to be rich (.. 하다)
번거롭다,to be cumbersome
모금,a counter for a 'sip'
선착순,first come first served
