이력,background/personal history
서류,documents/papers
외과,surgery ward
육실,bathroom
점검,inspection
연예,entertainment
선배,one’s senior
금액,amount (of money)
독신,bachelor
전공 책,major text book
디저트,desert
비용,expense/charge
잔돈,small change
진통제,painkiller
수출하다,export
수입하다,import
귀가하다,returning home
갚다,pay back
분실하다,lose something
신고하다,report (to the police/government)
돌보다,watch/take care
불친절하다,not kind
비다,to be empty
지적이다,intelligent
심각하다,serious/critical
한동안,for a while/for some time
수시로,frequently
경우,a hypothetical case/event
최선,the best way/plan
