명단,name list
설정,setting
대표,representative
협약,"agreement, treaty"
동맹,alliance
세월,time (usually when “passing”)
직급,rank at one’s job
식구,family member
공룡,dinosaur
신분증,identification card
주근깨,freckle
절,Buddhist temple
평균,"average, mean"
연말,the end of the year
과제,"task, project, thing to do"
체중,weight
대륙,continent
임시,temporary
회전,rotation
계급,a “class” in society
회식,staff dinner
임금,wages/pay
배분하다,to distribute
깨우다,to wake somebody up
적립하다,"to save up, to accumulate"
야근하다,to work at night
증명하다,to prove
