백신,vaccine
항체,antibody
상사,one’s superior/boss
체계,system
지혜,wisdom
교재,teaching materials
체구,build/frame
차도,street/road
댓글,comment
취향,taste, preference
밀림,jungle
고아,orphan
고아원,orphanage
미용사,hairdresser
매력적,charming
맞다,to receive an injection
굶다,to starve
굶기다,to make one starve
집필하다,to write
항의하다,to protest
트림하다,to burp
세뇌하다,to brainwash
뒷담화하다,to talk behind one’s back
지혜롭다,to be wise
쓸데없다,"to be useless, to be purposeless"
저절로,"automatically, by oneself, by itself"
쓸데없이,"without use, without purpose"
