인상,impression (주다/남기다/받다)
첫인상,first impression
거리,distance
잇몸,gum (of teeth)
심판,referee
밭,field
옥수수,corn
나물,herbs
오이,cucumber
호박,pumpkin
자루,sack
예리하다,sharp
해 질 녘,sunset
차별,discrimination
성차별,sexual discrimination
인종,race
인종주의,racism
삼계탕,a type of traditional chicken soup
택시기사,taxi driver
호우,torrential downpour
심판하다,judge
자퇴하다,drop out of school
뒷정리하다,clean up after you are done
연주하다,perform an instrument
뜻하다,to mean
완고하다,stubborn
공식,official ________
자루,counter for pencils/knives/guns
곡,counter for piece of music
나란히,side by side
