모든,every (ㅁ...)
모든 것,everything
어디나,everywhere
언제나,every time
누구나,everyone
뭔가,something
어딘가,somewhere
언젠가,"sometime, some day (ㅇ...)"
누군가,somebody
아무나,anybody
아무 거나,anything
아무 데나,anywhere
아무 때나,anytime
아무도,nobody
아무 것도,nothing
아무 데도,nowhere
마다,each
모두,all (two syllables)
다,all (one syllable)
데,place (ㄷ...)
언제든지,anytime
젓가락,chopsticks
혀,tongue
지갑,"wallet, purse"
기숙사,dorm
주소,address
메뉴,menu
아시아,Asia
동남아시아,South East Asia
눈물,tears
회의,"meeting, conference"
고향,hometown
휴일,holiday (DAY)
아기,baby, infant
산책하다,to go for a walk
사귀다,to go out with, to date
무관심하다,to be indifferent
심하다,"to be severe, to be extreme"
하루 종일,all day long
예전,"old days, past"
관심이 있다,to be interested in
이때,at this moment
