일정,schedule
앞문,front door
뒷문,back door
기념품,souvenir
기념비,monument
학업,studies
사안,issue/matter (ㅅ...)
무단,doing something without permission
상반기,the first half of the year
하반기,the second half of the year
사계절,four seasons
관광객,tourists
갈다,"to change, to replace (ㄱ...)"
갈다,"to grind, to sharpen"
꼬집다,to pinch
쌓다,"to build up, to stack up"
기념하다,to commemorate
뒤따르다,"to follow, to go after (ㄷ...ㄸ...)"
진행하다,to progress
누르다,"to press, to oppress, to defeat"
자라다,to grow up
횡단하다,to cross (ㅎ...)
판매하다,to sell (...하다)
쌓이다,to be stacked/build up
흐리다,"to be cloudy, to be muggy (ㅎ...)"
적발 시,if caught
문득,suddenly (ㅁ...)
