상품,products/goods
조건,conditions/stipulations
기자,journalist
기준,standard criteria
술집,bar
죄,crime
도둑,thief
튀다,bounce
연료,fuel
작가,writer/author
통일,unification
공공,public
질서,public order
전기,electricity
벌이다,to plan to start to do something
일으키다,help somebody rise up
바라보다,look at
기여하다,contribute
향하다,to face/look to
마치다,finish
악수하다,shake hands
끌다,pull/drag/haul
국내,inside the country
말 (4월 말에),end of time period
반드시,surely/definitely
전 세계적으로,worldwide
공간,space/room (for something)
제대로,properly
일부,a part/portion
세기,century
