도로,Road
고속도로,Highway
스님,Buddhist Monk
당국,Authorities
도시락,Lunch Box
여행자,Traveler
피해,Damage
성형,Plastic Surgery
연휴,Continuous Holidays
최신,The Latest
진심,Sincerity, Truth
한편,On the Other Hand
반면,On the Other Hand
점프하다,To Jump
깜빡하다,To Forget
빨다,To Suck
뜨다,To Open One's Eyes
감다,To Close One's Eyes
다투다,To Fight Verbally
겨루다,To Compete, Fight, Vie For
개설하다,To Establish, Open
설레다,For One's Heart to be Beating Fast in Excitement
떠지다,To Have One's Eyes Be Open
감기다,To Have One's Eyes Be Closed
왜냐하면,Because
그래서,Therefore
