차세대,next generation
후계자,heir/successor
영리,profit
비영리,non-profit
의료,medical
재단,foundation
공익,public interest
혼선,confusion
품질,quality
물속,inside water
얼룩,stain/smear/smudge
국경,border
국경선,border line
핵,nuclear/nucleus
이두근,biceps
삼두근,triceps
실내화,slippers/house shoes
장점,strong point
단점,weak point
냉방,air conditioning
압착하다,squeeze
표시하다,express
숙이다,hanging your body forward
중개하다,mediate
중독되다,to be addicted
창의적이다,creative/original (idea)
화창하다,clear/bright/fine/nice(weather)
끊임없다,constant
겸손하다,modest
끊임없이,constantly
