호랑이,tiger
역사가,historian
집주인,landlord
다과,refreshments
작업,job/work/operations (ㅈ...ㅇ)
예산,budget
소독약,disinfectant
보조,pace/step
기구,apparatus/appliance/utensils (ㄱ...)
지붕,roof
한구석,corner/nook
가로,width
세로,length
논문,thesis
파도,waves
찾아내다,"to find out, to discover (ㅊ...ㅇ....ㄴ...)"
쏘다,"to shoot, to sting"
방해하다,to distract
치르다,to pay for (ㅊ...)
소독하다,to disinfect
대단하다,"to be great, huge, tremendous"
화려하다,"to be colorful, fancy, splendid"
엷다,to be light (in shade)
무례하다,to be rude
오래 전,a long time before
글쎄,well…/let me see…
