상식,common sense
마감일,deadline
구멍,hole
경력,career/work experience
체력,physical strength (ᄎ...)
영화관,movie theater
검진,physical checkup/health screening
자녀,children/sons and daughters
자동,automatic
크기,size
폭포,waterfall
바보,an idiot (often used as a cute way to say “a silly person”)
시련,some kind of hardship (ᄉ...)
머릿속,the inside of one’s head
담당하다,to take responsibility
삭제하다,to delete (files)
겪다,to experience (ᄀ...)
잔소리하다,to nag
생산하다,to produce
협의하다,to discuss
퇴장하다,to leave (a place) (ᄐ....)
당기다,to pull
밀다,to push
비비다,to mix
파다,to dig
소지하다,to possess (ᄉ...ᄌ...)
가입하다,to become a member/join a club
