화가,painter
심기,mood/temper/feelings
영향력,influence/leverage
앞니,front tooth
모음,vowel
자음,consonant
연락처,way to be contacted (phone #)
인삼,ginseng
성함,name (high respect)
필통,pencil case
시아버지,father in law
시어머니,mother in law
베개,pillow
사계절,four seasons
강당,lecture hall/auditorium
몸살,body aching all over (나다)
손뼉,palms
웃어른,elders
자판기,vending machine
의심하다,doubt/question/suspicious
끼어들다,cut/push in front of
읽히다,to be read
특이하다,unusual/interesting/unique
밤중,midnight
재작년,two years ago
생전,in one’s whole life
반평생,half of one’s life
만일,same meaning of “만약”
의심스럽다,to be doubtful about
일종,one kind of…
