정신,mind/spirit/soul
설거지,dish washing
조사,investigation
사생활,personal life
헛소문,groundless rumor
단체,organization/corporation
긴장감,tension
사건,events
놀이터,playground
불교,Buddhism
문단,paragraph
주장(하다),argument (argue)
바르다,to apply lotion
향상하다,improve/develop/progress
발전하다,improve/develop/progress
노동하다,work/labor
탈출하다,escape
퍼지다,diffuse/spread out/spread
정돈하다,arrange
흐르다,for a liquid to flow
자라다,grow up
대표하다,represent
강조하다,stress/emphasize
맡다,undertake/take on/handle/manage
외식하다,to eat out somewhere
구하다,rescue
압착하다,squeeze
데다,to burn (part of a body)
야생,wild (wild ____ animal)
및,as well as (Korea as well as Canada)
