소녀,little girl
소년,little boy
회비,membership fees
서양,western countries
동양,eastern countries
문명,civilization
속도,"speed, velocity"
선약,previous engagement
농업,agriculture
차례,order
손상,"damage, harm, injury"
도난,theft
사기,fraud
사기꾼,"swindler, fraud man"
실생활,real life
동호회,club for people with same interest
귀중품,valuables
그치다,for rain to stop
모시다,"to serve, to attend on someone"
말리다,to dry
마주치다,to bump into, to make eye contact
암살하다,to assassinate
선고하다,to sentence
공격하다,to attack
정성껏,putting your heart into something
