장면,movie scene
냄비,"pot, pan"
모습,"one’s figure, appearance"
수표,cheque
자,ruler
지우개,eraser
지리,geography
태극기,the Korean flag
국기,flag
가구,furniture
미팅,a kind of group blind date
강의,lecture
전원,"electricity, power"
프린터,printer
집값,price of houses
변명,excuse
규칙,"rule, regulation (ㄱ...ㅊ...)"
주름,wrinkle
마늘,garlic
교환학생,exchange student
상가,a building with a bunch of stores in it
계약,contract
웃음,"laughter, smile"
학기,semester
외모,a person's outside appearance
무제한,something without limit
현금,cash
물고기,fish (ㅁ...)
상담하다,to consult
높이다,"to heighten, to increase (ㄴ...)"
올리다,"to raise, lift up, to increase (오...)"
편집하다,to edit
촬영하다,to film
보관하다,to store
복구하다,"to restore, to recover (ㅂ...)"
보증하다,to guarantee
민감하다,to be sensitive
상하다,"to be hurt, to be damaged"
옳다,"to be right, to be proper, to be correct"
감정적이다,to be emotional
오랫동안,for a long time
그중,of those things
원래,originally
짜리,the one worth…
일부러,on purpose
제한,"limit, restriction"
