온수,hot water
욕조,bathtub
내복,under-clothes worn in the winter to keep warm
미로,a maze
탁구대,ping pong table
휴게실,"resting room, lounge"
무더기,pile, heap of something
자존심,self esteem
헹구다,to rinse
갇히다,to be locked in
담그다,to soak in
권하다,to give advice
추정하다,to estimate
깨뜨리다,to smash
지적하다,to point out
수신하다,to receive a signal
날아가다,to fly away
헌신하다,to devote
대피하다,to evacuate and take shelter
엎다,to put face down
엎드리다,to lay face down
엎드러지다,to fall on one’s face
엎드러뜨리다,to make one fall on their face
아쉽다,"for something to be too bad, unfortunate"
