쌍둥이,twin
보충,supplement (ㅂ...)
백조,swan
실내,interior (ㅅ...)
정책,policy
통화,currency
단백질,protein
지방,fat
탄수화물,carbohydrate
양,amount
야간,night (ㅇ...)
최선,one’s best (ㅊ...)
사전,prior/beforehand/ahead of time (ㅅ...)
쌍,a pair
헤엄치다,"to swim, to move through water (ㅎ...)"
해고하다,to fire a person from a job
건네다,to hand-over
해설하다,to explain (ㅎ...)
다하다,"to do all of something, to leave nothing behind"
데리러 오다,to have one come and pick you up
데리러 가다,to go and pick somebody up
추가하다,to add to (ㅊ...)
청결하다,to be clean (ㅊ...)
의도적이다,"to be intentional, to be deliberate"
꾸준하다,"to be unrelenting, to be tireless"
한가롭다,to be leisurely
딱,"exactly, perfectly, precisely"
무조건,unconditionally
