길,street
거리,road
오다,to come
끝나다,to be finished
끝내다,to finish
하지만,but
위험하다,to be dangerous
잘생기다,to be handsome
못생기다,to be ugly
손,hand
영어,English
택시,taxi
열차,train
역,station
버스 정류장,bus station
비행기,airplane
자전거,bicycle
거기,there (when it's close)
저기,there (when it's farther away)
아내,wife
남편,husband
아이,child
아들,son
딸,daughter
아버지,father
어머니,mother
춤추다,to dance
피곤하다,to be tired
다르다,to be different
알다,to know
편지,letter
슬프다,to be sad
맛,taste
맛있다,to be delicious
살다,to live
식사,meal
아침,morning (not 오...)
아침식사,breakfast
생각하다,to think
지금,now (not 이...)
행복하다,to be happy
배우다,to learn
연습하다,to practice
물,water
걷다,to walk
사과,apple
재미있다,"to be funny, interesting"
많다,to be many
돈,money
