신발,shoes
남방,shirt
질문,question
문제,problem
노력하다,to try
앉다,to sit
만지다,to touch
자다,to sleep
나이,age
화장실,restroom
먹다,to eat
보다,to see
주,week
곧,soon
항상,always
부장님,boss
분위기,atmosphere
차,tea
기다리다,to wait
바지,pants
교실,classroom
급식,food at school
교감선생님,vice principal
교장선생님,principal
놀라다,to be surprised
아래,bottom
청소하다,to clean
풀,glue
수도,capital city
병,water bottle
병,disease
약속하다,to promise
생선,fish
야채,vegetable
언덕,hill
선물,"present, gift"
빠르다,to be fast
느리다,to be slow
기타,guitar
듣다,to hear
들어보다,to listen
착하다,to be nice (not 친...)
종이,paper
그만하다,to stop (ㄱ...)
우유,milk
운동하다,to exercise
손목,wrist
시계,clock
손목시계,wrist watch
영화,movie
