가스,"gas"
가스레인지,"gas range (stove)"
가이드,"guide"
갤러리,"gallery"
거즈,"gauze"
게스트,"guest"
게임,"game"
골,"goal"
골키퍼,"goal keeper"
골프,"golf"
그램,"gram"
글라스,"glass"
나노미터,"nanometer"
네트워크,"network"
넥타이,"necktie"
노트,"note"
뉴런,"neuron"
다운로드,"download"
다이빙,"diving"
다이아,"diamond"
다이아몬드,"diamond"
다크,"dark"
더블,"double"
데이터,"data"
데이터베이스,"database"
데이트,"date"
드라마,"drama"
드라이버,"driver"
드라이어,"dryer"
드립,"drip"
디너,"dinner"
디럭스,"deluxe"
디스플레이,"display"
디자인,"design"
디저트,"desert"
디젤,"diesel"
디지털,"digital"
땡큐,"thank you"
라디오,"radio"
라벤더,"lavender"
라벨,"label"
라식,"lasic surgery"
라운지,"lounge"
라이벌,"rival"
라이스,"rice"
라이터,"writer"
라인,"line"
라자냐,"lasagna"
락,"rock (type of music)"
락커,"locker"
락커룸,"locker room"
랍스터,"lobster"
랩,"wrap"
랭귀지,"language"
러브,"love"
럭비,"rugby"
럭비공,"rugby ball"
럭셔리,"luxury"
런닝,"running"
런지,"lunge"
런치,"lunch"
레저,"leisure"
로고,"logo"
로데오,"rodeo"
로드,"road"
로또,"lotto"
로맨틱,"romantic"
로밍,"roaming"
로봇,"robot"
로비,"lobby"
로스팅,"roasting"
로즈,"rose"
록밴드,"rock band"
록클라이밍,"rock climbing"
롤러코스터,"roller coaster"
룰,"roll"
룰렛,"roulette"
룸,"room"
리더,"leader"
리모콘,"remote control"
리뷰,"review"
리셉션,"reception"
리스트,"list"
리얼,"real"
립,"lip"
립스틱,"lipstick"
링,"ring"
링크,"link"
마사지,"massage"
마스크,"mask"
마요네즈,"mayonnaise"
마이너스,"minus"
마이크,"microphone"
마일,"mile"
마일드,"mild"
마일리지,"mileage points"
마켓,"market"
마트,"mart"
매니저,"manager"
매니큐어,"manicure"
매트리스,"mattress"
머그컵,"mug"
머신,"machine"
머플러,"muffler, scarf"
메트로,"metro"
모니터,"monitor"
모터,"motor"
모텔,"motel"
미니,"mini"
미디어,"media"
미션,"mission"
민트,"mint"
밀크,"milk"
바코드,"bar code"
발렛,"ballet"
배터리,"battery"
백,"bag"
백핸드,"back-hand"
밴드,"band"
버거,"burger"
버건디,"burgundy"
버터,"butter"
버튼,"button"
버퍼링,"buffering/loading"
베란다,"veranda"
베스트,"best"
베이커리,"bakery"
벨,"bell"
벨브,"valve"
벨트,"belt"
보드,"board"
보디,"body"
보디가드,"body guard"
보디랭귀지,"body language"
보디빌딩,"body building"
보이,"boy"
보일러,"boiler"
본드,"bond, glue"
볼륨,"volume"
부츠,"boots"
뷔페,"buffet"
브라,"bra"
브라보,"bravo"
브랜드,"brand"
브러시,"brush"
브런치,"brunch"
브레이크,"brake"
브로치,"broach"
블로그,"blog"
비닐,"plastic bag, vinyl"
비디오,"video"
비디오게임,"video game"
비지니스,"business"
빌딩,"building"
빌라,"villa"
사이트,"site"
샌드위치,"sandwich"
샴푸,"shampoo"
샷,"shot"
서머타임,"daylight savings time"
세트,"set"
센터,"center"
셔틀,"shuttle"
소다,"soda"
쇼핑,"shopping"
쇼핑몰,"shopping mall"
숏,"shot"
스마트,"smart"
스마트폰,"smart phone"
스모그,"smog"
스무디,"smoothie"
스웨터,"sweater"
스위치,"switch"
스카이,"sky"
스카이다이빙,"sky diving"
스카프,"scarf"
스케일링,"scaling (at a dentist)"
스케줄,"schedule"
스퀘어,"square"
스크린,"screen"
스크린도어,"screen door"
스키,"ski"
스타,"star"
스타디움,"stadium"
스타트,"start"
스탠드,"stand"
스토리,"story"
스톱,"stop"
스티커,"sticker"
스파게티,"spaghetti"
스파크,"spark"
스페어,"spare"
스포츠,"sport"
수프,"soup"
스프레이,"spray"
스피드,"speed"
스피드퀴즈,"speed quiz"
시리얼,"cereal"
시리즈,"series"
시스템,"system"
쓰리디,"three-D"
아몬드,"almond"
아바타,"avatar"
아보카도,"avacado"
아이돌,"idol groups"
아카데미,"academy"
아카펠라,"acapella"
아케이드,"arcade"
아트,"art"
아트홀,"art hall"
알레르기,"allergy"
알파,"alpha"
알파벳,"alphabet"
애플리케이션,"application"
액션,"action"
앱,"app"
업데이트,"update"
업로드,"upload"
에너지,"energy"
에스컬레이터,"escalator"
에어로빅,"aerobics"
에어백,"air bag"
에어컨,"air conditioning"
에티켓,"etiquette"
엑스레이,"xray"
엔터테인먼트,"entertainment"
엘리베이터,"elevator"
오토매틱,"automatic"
오토바이,"motorcycle"
오픈,"open"
요구르트,"yogurt"
우먼,"woman"
워터파크,"water park"
원피스,"one piece (dress)"
월드,"world"
웰빙,"well being"
웹,"web"
이메일,"email"
이어폰,"earphone"
인테리어,"interior"
인프라,"infrastructure"
잉크,"ink"
재즈,"jazz"
잼,"jam"
제로,"zero"
젤리,"jelly"
좀비,"zombie"
지퍼,"zipper"
집라인,"zip-line"
체리,"cherry"
체크,"check"
체크인,"check-in"
초코,"chocolate"
초코렛,"chocolate"
치즈,"cheese"
칠리소스,"chili sauce"
칩,"chip"
카레,"curry"
카메라,"camera"
카운슬러,"counsellor"
카운슬링,"counselling"
카운터,"counter"
카트,"cart"
카페,"cafe"
카페인,"caffeine"
캐리어,"suitcase"
캐리커처,"caricature"
캐치,"catch"
캔디,"candy"
캡슐,"capsule"
커브,"curve"
컨디셔너,"conditioner"
컬러,"color"
케이블,"cable"
케이블카,"cable car"
케이스,"case"
케첩,"ketchup"
코너,"corner"
코너킥,"corner kick"
코브라,"cobra"
코스,"course"
코어,"core"
코코아,"cocoa"
콘,"cone"
콘돔,"condom"
콘센트,"outlet"
콘셉트,"concept"
콘크리트,"concrete"
콘텐츠,"contest"
콤플렉스,"complex"
쿠폰,"coupon"
퀴즈,"quiz"
크리넥스,"kleenex"
크림,"cream"
클래식,"classic"
클럽,"club"
클렌저,"cleanser"
클렌징,"cleansing"
클렌징크림,"cleansing cream"
클리닉,"clinic"
클리언스,"clearance"
키보드,"keyboard"
킹,"king"
타운,"town"
타워,"tower"
타월,"towel"
타이밍,"timing"
태그,"tag"
태닝,"tanning"
탤런트,"talent"
탱크,"tank"
터치,"touch"
텀블러,"tumbler"
테러,"terror"
테마,"theme"
토너,"toner"
토스터,"toaster"
토스트,"toast"
토털,"total"
트랙,"track"
트레이너,"trainer"
트레이닝,"training"
트레이드,"trade"
티백,"tea bag"
티슈,"tissue"
티켓,"ticket"
파마,"perm"
파워,"power"
파이프,"pipe"
파티,"party"
파파라치,"paprazi"
파파야,"papaya"
팝송,"pop song"
패스,"pass"
패치,"patch"
팩스,"fax"
포인트,"point"
포켓,"pocket"
포켓볼,"pocket pool"
포크,"fork"
포테이토,"potato"
포토,"photo"
포토샵,"photoshop"
폰,"phone"
폴더,"folder"
폴라로이드,"polaroid"
푸드코트,"food court"
프로,"pro"
프로게이머,"pro-gamer"
프로그래머,"programmer"
프로그램,"program"
프로젝트,"project"
프로페셔널,"professional"
프로필,"profile"
프리미엄,"premium"
플라스틱,"plastic"
플라자,"plaza"
플러그,"plug"
플러스,"plus"
플레이어,"player"
필름,"film"
필터,"filter"
핑크,"pink"
하모니,"harmony"
핸드백,"hand bag"
핸드볼,"hand ball"
핸들,"handle"
헤어,"hair"
헤어스타일,"hairstyle"
헤어핀,"hairpin"
헬륨,"helium"
헬멧,"helmet"
헬스클럽,"health club"
호일,"tin foil"
홀,"hall"
홀더,"holder"
후레쉬,"fresh"
히어로,"hero"
히터,"heater"
힌트,"hint"
힐,"heel"
