남성,male
여성,female
음성,negative
양성,positive
인성,character
정체성,identity
성향,"one’s tendency, disposition"
습성,habits
개성,"individuality, personality"
특성,characteristic
진실성,truthfulness
위험성,dangerousness
관련성,relevancy
독창성,"creativity, originality"
창의성,creativity
필요성,necessity
다양성,diversity
전염성,contagiousness
찬성,approval
완성,completion
미완성,incompletion
형성,development
성과,result
성과급,"bonus, performance related pay"
구성,formation
조성,"construction, creation"
충성,"loyalty, allegiance devotion"
성의,sincerity
성실하다,to be faithful
