어른,adult
어린이,"child, children"
공주,princess
영향,influence
글,some sort of writing
문학,literature
지방,"district, local area"
이웃사람,neighbor (person)
환경,environment
농장,farm
부분,"part, section"
광고,advertisement
농구,basketball
배구,volleyball
지구,earth
방귀,fart
고개,head (ㄱ...)
방향,direction (ㅂ....)
해외,abroad, overseas
자체,"itself, its own"
시대,"times, period"
주의,caution
연구하다,to research
집중하다,to concentrate
나누다,to divide
이용하다,to use
등록하다,to register
메다,to carry on shoulder
세우다,"to stand something up, to line something up"
움직이다,to move
정리하다,to arrange
취소하다,to cancel
지키다,to protect, to defend (ㅈ...)
놓치다,to miss (a train or bus)
적다,to be few
강하다,to be strong
불편하다,to be uncomfortable
충분하다,"to be enough, to be sufficient"
졸리다,to be sleepy
솔직하다,"to be honest, frank"
정확하다,to be exact
친하다,to be close with
결국,eventually
내내,throughout a time
드디어,"finally, at last"
그냥,only, just
약간,"slightly, a little bit"
철저히,thoroughly
